"","x"
"must",10
"odd",10
"chip",10
"luck",10
"punch",10
"wait",10
"brathwait",10
"disciplin",10
"sustain",10
"aim",10
"bare",10
"twice",10
"produc",10
"deni",10
"format",10
"lift",10
"natur",10
"definit",10
"seam",10
"arriv",10
"fan",10
"becam",10
"huge",10
"outstand",10
"shown",10
"frustrat",10
"surpris",10
"consid",10
"easili",10
"replay",10
"mean",10
"sometim",10
"cordon",10
"legspinn",10
"competit",9
"hasn",9
"nightwatchman",9
"actual",9
"effect",9
"focus",9
"life",9
"matter",9
"peopl",9
"person",9
"rememb",9
"someon",9
"white",9
"experienc",9
"keeper",9
"margin",9
"question",9
"threw",9
"danger",9
"richard",9
"combin",9
"present",9
"afternoon",9
"deficit",9
"saw",9
"action",9
"flick",9
"matur",9
"nerv",9
"progress",9
"touch",9
"compani",9
"nation",9
"breakthrough",9
"led",9
"tenth",9
"variat",9
"kingston",9
"sunday",9
"plenti",9
"whether",9
"emerg",9
"excel",9
"calm",9
"major",9
"add",9
"boy",9
"display",9
"fortun",9
"stretch",9
"main",9
"auckland",9
"univers",9
"brian",9
"basin",9
"capitalis",8
"doesn",8
"pose",8
"unlik",8
"air",8
"comeback",8
"exploit",8
"smile",8
"tight",8
"tire",8
"worri",8
"check",8
"decemb",8
"extend",8
"impact",8
"list",8
"ninth",8
"yesterday",8
"damag",8
"quiet",8
"wouldn",8
"bouncer",8
"dean",8
"whatev",8
"tougher",8
"defend",8
"feet",8
"special",8
"alon",8
"nervous",8
"spun",8
"step",8
"guess",8
"red",8
"bodi",8
"direct",8
"round",8
"compet",8
"sign",8
"otti",8
"vital",8
"convinc",8
"induc",8
"seventh",8
"occasion",8
"usual",8
"backward",8
"crucial",8
"loft",8
"song",8
"pack",8
"term",8
"bad",8
"stop",8
"oval",8
"net",8
"visit",8
"reserv",8
"area",7
"attitud",7
"emot",7
"honest",7
"scorer",7
"spoken",7
"spot",7
"hander",7
"patient",7
"shout",7
"swung",7
"generat",7
"isn",7
"promis",7
"ran",7
"contest",7
"rise",7
"express",7
"hadn",7
"sent",7
"signal",7
"sound",7
"till",7
"factor",7
"hot",7
"patienc",7
"anyon",7
"develop",7
"extrem",7
"bright",7
"conteamr",7
"alongsid",7
"decent",7
"spend",7
"overnight",7
"requir",7
"stori",7
"thank",7
"unabl",7
"assist",7
"evid",7
"rare",7
"balanc",7
"centurion",7
"eighth",7
"crowd",7
"desper",7
"local",7
"perfect",7
"other",7
"john",7
"standard",7
"fear",7
"gap",7
"deserv",7
"colombo",7
"enforc",7
"spread",7
"manner",7
"hamish",7
"name",6
"chest",6
"fill",6
"keen",6
"note",6
"shorter",6
"view",6
"join",6
"landmark",6
"onto",6
"slash",6
"wonder",6
"corner",6
"deliv",6
"exert",6
"kraigg",6
"older",6
"smart",6
"discomfort",6
"surround",6
"talent",6
"brisk",6
"reflect",6
"tail",6
"whole",6
"armer",6
"appeal",6
"belief",6
"box",6
"equal",6
"risk",6
"safe",6
"toil",6
"goe",6
"handl",6
"search",6
"land",6
"massiv",6
"angl",6
"boost",6
"familiar",6
"typic",6
"concern",6
"busi",6
"nudg",6
"overal",6
"shoulder",6
"kick",6
"strength",6
"substanti",6
"trail",6
"plus",6
"everyth",6
"injur",6
"reiffel",6
"sightscreen",6
"slap",6
"stood",6
"techniqu",6
"fulli",6
"heavi",6
"cap",6
"recov",6
"ago",6
"except",6
"memor",6
"els",6
"learn",6
"selector",6
"cloud",6
"grab",6
"shape",6
"talli",6
"exact",6
"kolkata",6
"worth",6
"briefli",6
"live",6
"demand",6
"respect",6
"difficulti",6
"snap",6
"seddon",6
"convert",5
"failur",5
"soft",5
"stat",5
"adjust",5
"batter",5
"cash",5
"commit",5
"mental",5
"presenc",5
"realis",5
"relief",5
"sudden",5
"await",5
"insw",5
"rope",5
"scoop",5
"storm",5
"straightforward",5
"style",5
"upper",5
"adapt",5
"amount",5
"dayer",5
"defens",5
"poke",5
"roll",5
"welcom",5
"wicb",5
"channel",5
"featur",5
"nick",5
"highlight",5
"longer",5
"piec",5
"harsh",5
"race",5
"rid",5
"stuff",5
"wear",5
"measur",5
"board",5
"track",5
"gift",5
"overstep",5
"relat",5
"remark",5
"icc",5
"trinidad",5
"avail",5
"avoid",5
"select",5
"suffer",5
"offspinn",5
"report",5
"told",5
"type",5
"beaten",5
"built",5
"confirm",5
"cours",5
"delay",5
"simpl",5
"barbado",5
"beauti",5
"rais",5
"act",5
"grow",5
"favourit",5
"real",5
"departur",5
"regroup",5
"higher",5
"former",5
"non",5
"olymp",5
"stride",5
"flow",5
"moistur",5
"nip",5
"predict",5
"recal",5
"capabl",5
"desir",5
"space",5
"cheapli",5
"fashion",5
"unit",5
"maintain",5
"exampl",5
"spent",5
"conclus",5
"error",5
"hamstr",5
"increas",5
"platform",5
"thick",5
"thin",5
"product",5
"train",5
"grant",5
"send",5
"trip",5
"weak",5
"closer",5
"depart",5
"ernesto",5
"slight",5
"repriev",5
"outswing",5
"reid",5
"brilliant",5
"clip",5
"grassi",5
"redmond",5
"palm",5
"resili",5
"pictur",5
"interest",5
"stun",5
"albeit",5
"swift",5
"veerasammi",5
"calendar",5
"everyon",4
"momentum",4
"assess",4
"broad",4
"cheer",4
"cross",4
"emphat",4
"endur",4
"hunger",4
"intimid",4
"profession",4
"surpass",4
"acknowledg",4
"halt",4
"histori",4
"intent",4
"lob",4
"mistak",4
"silli",4
"sneak",4
"answer",4
"heard",4
"restrict",4
"unfortun",4
"amid",4
"comment",4
"era",4
"hop",4
"terrif",4
"novemb",4
"par",4
"afford",4
"bother",4
"rough",4
"rub",4
"apiec",4
"consolid",4
"prompt",4
"whenev",4
"sit",4
"fair",4
"self",4
"spirit",4
"valu",4
"volley",4
"camp",4
"defin",4
"encourag",4
"bore",4
"matchplan",4
"notic",4
"taker",4
"click",4
"exclud",4
"oversea",4
"senior",4
"slid",4
"lucki",4
"negat",4
"excit",4
"accur",4
"fierc",4
"habit",4
"individu",4
"resumpt",4
"courtney",4
"hang",4
"laugh",4
"pakistan",4
"serv",4
"tempt",4
"wall",4
"walsh",4
"refresh",4
"account",4
"aid",4
"count",4
"fault",4
"steer",4
"andi",4
"catcher",4
"oppon",4
"sprint",4
"suit",4
"stint",4
"fewer",4
"lowest",4
"ton",4
"clean",4
"distract",4
"dive",4
"drama",4
"fraser",4
"latter",4
"paul",4
"pluck",4
"pryce",4
"screen",4
"striker",4
"system",4
"unfurl",4
"constant",4
"proud",4
"readi",4
"region",4
"succumb",4
"switch",4
"affect",4
"bag",4
"group",4
"receiv",4
"alarm",4
"amend",4
"eleg",4
"jamaican",4
"laps",4
"normal",4
"fantast",4
"simpli",4
"club",4
"otherwis",4
"drawn",4
"groin",4
"strain",4
"analysi",4
"immens",4
"most",4
"accord",4
"brown",4
"die",4
"tone",4
"tropic",4
"tandem",4
"charg",4
"flight",4
"quicker",4
"saturday",4
"threaten",4
"unchang",4
"sum",4
"victim",4
"hamper",4
"extract",4
"fallen",4
"fold",4
"goog",4
"captainci",4
"crow",4
"dash",4
"napier",4
"skip",4
"vast",4
"ineffect",4
"meanwhil",4
"summer",4
"tick",4
"aaron",4
"sway",4
"healthi",4
"uncertain",4
"row",4
"dealt",4
"examin",4
"burst",4
"careless",4
"frequent",4
"compar",4
"turner",4
"superbl",4
"involv",4
"regardless",4
"christma",4
"ugli",4
